,IFT,IFT_pred
1611,29.52,29.700735
949,33.5,33.80712
680,30.5,31.129007
141,25.0,26.929161
1620,34.5,37.142025
217,27.2,28.982962
559,55.4,55.418587
791,30.3,30.103922
607,29.0,30.121433
70,37.36,37.467766
1562,30.2,33.939743
600,34.8,34.204655
773,46.2,45.66234
1686,58.22,57.27168
1177,29.0,30.339907
1117,27.0,26.875013
209,19.4,14.138015
785,34.6,33.775875
194,59.0,56.597553
1742,39.75,39.64945
430,32.15,31.755646
592,51.7,51.04521
15,30.91,31.16003
385,29.15,28.592659
149,31.6,30.55727
1478,60.89,61.451775
12,33.48,32.389866
120,45.5,48.26052
722,48.3,48.047638
1052,35.1,35.32714
1601,44.36,43.481186
681,38.5,38.56805
1721,39.8,40.279823
236,22.4,19.82181
1697,48.87,53.294483
1730,36.42,36.703262
757,32.3,31.530039
1656,57.46,57.71599
441,33.87,33.801464
1218,45.0,44.944244
871,44.3,44.498493
517,22.97,26.35678
1221,36.0,35.611115
419,27.74,28.05343
208,31.0,29.53546
1420,49.78,51.089622
576,25.7,26.69066
1381,55.6,56.5006
1526,62.93,63.043884
777,40.7,40.433712
1570,52.1,52.15531
824,33.0,32.44616
954,34.0,33.910297
1624,33.15,33.28906
962,63.0,62.118816
176,44.15,44.7111
1235,60.11,58.40698
86,28.28,30.318808
689,32.7,32.933746
1518,60.29,60.382015
46,45.27,45.36391
186,35.83,36.024006
917,35.4,35.79423
461,34.85,36.19951
1663,34.63,33.90559
166,47.5,46.57041
634,34.9,35.359562
540,46.53,47.81323
1763,42.76,43.097374
807,41.1,41.09166
139,32.5,31.139618
1765,41.77,41.32023
1419,50.01,49.085243
133,22.8,24.010857
1274,43.26,42.06543
1248,44.63,44.600166
811,37.4,37.18303
1632,36.77,36.31262
1561,33.0,34.950443
864,58.6,59.11333
820,34.1,33.537758
1720,42.19,42.893177
1729,36.81,36.75974
1203,12.65,14.532062
880,38.3,38.19627
50,32.91,32.77353
117,29.3,29.115253
1417,52.78,52.879536
421,32.5,35.7477
1630,39.25,39.86549
534,25.52,25.769535
1557,35.8,34.15914
617,21.7,23.457825
118,27.0,25.379326
888,34.8,34.796623
288,31.19,31.671976
847,39.5,38.894108
893,31.0,29.836082
619,21.2,23.017328
855,34.8,33.84846
51,31.14,31.44664
156,50.25,52.37432
711,38.8,38.607407
769,52.7,53.153107
919,34.7,34.719032
825,28.1,27.950293
1340,26.03,26.597164
1036,40.7,40.035732
976,47.2,47.337814
1575,44.04,42.11597
1105,32.2,31.442408
1753,40.83,39.684814
1600,27.16,27.778534
1187,25.55,23.676699
908,40.7,39.64795
1366,33.69,32.605377
426,29.69,28.929228
282,28.0,27.848747
1254,38.23,38.330944
293,38.59,39.15426
33,38.43,37.509396
838,41.8,41.025093
1548,46.4,49.597023
1559,40.6,41.670906
126,32.6,28.068695
463,41.47,41.34077
1740,41.9,42.541035
1619,36.39,38.746254
652,29.3,28.311584
787,32.3,33.48032
1212,29.8,30.096622
1225,73.6,71.87917
424,41.79,43.272842
515,26.91,27.242672
1022,65.5,65.55827
1467,52.5,53.20387
746,34.1,33.558346
1334,28.12,29.789722
1236,58.24,56.302288
315,27.51,28.50434
432,36.66,37.88147
283,28.44,28.47268
961,65.5,66.44827
1665,34.09,34.11421
87,52.33,52.539734
388,35.43,35.30135
1588,34.09,33.946552
344,29.41,30.19684
966,50.9,52.34434
1382,54.83,56.071194
1608,31.66,31.59568
695,28.7,28.72954
1273,44.98,45.61484
1539,50.49,49.634895
654,61.0,59.989037
851,36.7,36.39303
1127,60.56,60.03854
300,46.96,46.29264
334,46.94,46.955585
653,18.9,18.930807
475,39.43,38.874996
1718,46.36,45.826233
912,39.7,38.71093
436,46.77,47.24909
1066,41.7,42.969086
1320,52.92,53.526802
513,29.07,28.131166
1266,54.65,55.26796
495,36.87,36.559414
806,40.8,41.423397
212,29.1,29.367706
1379,57.15,56.470917
1648,32.2,33.03234
47,42.73,43.009644
697,27.9,28.49586
1303,37.49,37.47711
557,21.23,23.002867
1186,29.0,28.13779
346,27.49,27.75452
762,31.6,30.746931
1423,47.87,49.01044
1306,36.16,36.07034
1428,46.09,45.948017
292,43.64,43.922287
246,28.2,28.525425
1370,32.72,30.628956
1075,35.3,35.16464
1202,12.73,14.213774
1121,36.7,36.784504
1158,45.3,45.43734
1005,48.2,47.950783
395,28.23,28.655079
589,26.7,27.12502
1682,38.52,39.401806
1080,34.1,33.892227
1629,40.91,40.80464
1471,68.8,69.757324
370,35.07,35.357723
795,28.8,29.66832
703,48.9,49.72493
1450,64.77,62.4187
546,33.81,34.07611
189,23.58,25.838964
1041,38.4,37.81372
1356,40.96,38.40158
492,46.94,49.12204
1390,41.58,42.32804
664,35.4,35.43757
1006,48.9,48.789806
108,32.5,36.840992
1157,47.96,49.07367
1698,43.15,44.20151
783,35.7,35.479954
444,40.54,41.136395
1496,59.04,58.752117
531,30.31,29.504992
1001,50.7,50.706272
1047,34.0,33.980267
72,39.54,38.913708
1387,47.68,47.58163
973,49.5,49.802166
184,51.15,49.89346
1596,50.69,51.056923
35,38.56,36.770462
425,28.67,28.413853
509,37.76,36.787197
1087,48.4,47.097626
104,45.8,47.379013
222,42.4,44.553623
611,25.4,27.537521
362,31.5,32.735146
253,34.1,33.91786
1699,41.1,41.652855
523,48.5,48.791447
1687,45.8,47.784187
533,27.46,27.019363
710,31.2,31.40814
1329,33.92,37.464302
1338,26.2,26.899769
480,52.42,53.169903
269,27.6,27.986658
71,40.8,40.565968
1646,55.86,54.76094
1737,51.68,54.34447
1537,55.54,55.04872
1252,45.43,44.499035
123,34.4,36.135445
1108,40.1,42.05922
1058,54.3,53.522305
944,38.9,37.43954
235,31.0,30.581463
1578,26.81,26.502583
1289,57.41,57.025375
1327,36.6,39.33513
26,33.91,34.162983
688,53.3,53.73821
483,36.0,36.560772
1141,29.84,29.209589
417,27.59,27.044035
1016,44.2,43.28141
573,33.6,33.464188
342,35.13,37.00134
1564,53.39,52.777367
1371,32.83,30.367195
519,61.28,61.167973
666,35.0,34.76697
618,29.1,29.196478
464,27.65,28.792234
1667,48.86,47.06734
1612,29.35,29.520224
1610,30.34,30.22051
720,52.4,52.733826
258,39.5,39.11539
701,27.0,26.772898
957,29.8,30.460882
1154,62.31,63.14243
1339,25.02,27.047287
886,35.5,35.75438
1442,64.1,63.667713
1393,41.86,43.375015
735,58.2,58.01417
40,30.43,32.387882
693,29.5,29.780993
1155,58.98,60.27709
935,45.2,44.792633
798,62.2,61.799545
1500,57.96,54.32855
1695,33.05,34.077774
574,25.8,26.497301
1319,60.54,58.07105
552,29.27,29.199623
1582,27.3,26.460758
247,46.8,46.09189
641,26.5,26.023428
1652,30.92,31.163853
1741,40.06,40.279354
34,39.02,36.983555
1495,61.0,58.416267
202,36.0,35.754875
1044,37.2,37.1142
1106,45.8,45.909283
1621,34.14,33.90309
1147,30.62,29.705568
836,44.8,44.812183
1280,44.25,44.18722
661,30.8,30.78025
1369,33.72,33.8136
1394,40.92,41.843723
1719,43.09,43.58893
489,63.55,64.454
628,42.1,41.573875
1723,37.97,38.19911
1375,67.96,67.98119
1227,67.45,67.485695
995,58.7,58.691982
1530,62.95,59.68153
1132,31.69,35.584347
1734,35.81,35.297596
1011,44.9,44.53465
1302,38.85,38.117
575,32.6,32.650097
732,35.6,35.212257
1746,61.98,60.6696
999,52.3,53.102314
924,35.2,35.077484
431,33.54,34.18414
1189,20.89,19.738876
348,46.13,46.926903
203,27.1,25.457134
633,32.0,31.85609
1722,38.52,39.662884
23,35.42,35.558178
470,44.63,44.81936
980,45.6,45.572582
386,28.8,27.996235
1256,69.26,69.35801
1714,36.09,36.70069
656,53.4,53.13259
1649,32.11,31.594
1440,69.7,68.17696
1263,56.35,55.47819
852,36.6,36.063244
1116,34.3,33.182846
399,29.78,29.870396
230,28.4,28.665094
1312,32.28,31.710958
150,31.2,29.82268
1034,41.6,41.442314
587,27.2,27.807936
1759,48.95,48.259766
931,49.5,50.793255
1033,44.5,44.466793
151,30.0,30.962482
1348,59.33,61.153744
199,27.4,28.384174
1522,61.3,61.556488
1606,52.98,52.585487
1051,33.1,33.073616
615,22.7,24.514517
1528,56.21,56.19865
988,43.6,43.75303
452,29.9,29.727823
521,55.58,54.089252
299,31.42,32.536278
504,52.42,52.081516
909,41.4,40.993977
578,25.0,25.553185
1163,29.46,29.189785
1328,35.28,38.440536
1660,38.01,37.491974
1747,52.4,55.13449
1397,40.24,41.154243
32,39.37,39.198524
828,32.2,31.757807
683,36.5,36.87227
780,35.8,36.07789
466,32.45,31.693346
789,30.9,30.94771
1430,45.3,45.375164
267,27.3,27.901636
446,44.79,45.400482
1222,38.0,37.067722
7,29.05,28.305817
723,28.7,29.505741
456,25.97,27.222137
636,33.5,33.817444
997,54.9,56.17758
286,34.58,33.004906
577,31.9,31.5202
1290,57.46,57.35104
1253,42.42,41.680946
1145,42.75,44.823185
1229,59.22,59.042778
753,34.7,35.045765
928,58.2,57.671967
107,32.1,30.855467
501,62.48,63.217613
1516,67.2,67.42476
438,29.95,29.153723
1321,52.3,51.696648
514,27.44,28.121822
1335,28.78,27.512642
191,74.0,69.790535
1520,66.33,65.382545
433,39.45,39.685898
1707,48.86,46.82596
181,23.5,26.040218
1475,69.8,69.20892
1724,37.11,38.031025
953,31.1,31.755508
1535,60.29,56.733402
21,36.14,35.716312
832,57.2,58.004395
1683,37.97,37.94994
929,52.4,53.02643
862,64.9,64.84211
1383,53.3,54.33965
316,48.16,47.12484
1388,46.79,46.336952
583,28.3,28.013931
1065,42.9,42.969566
61,34.09,34.487507
561,51.0,50.250057
384,29.4,28.447344
733,24.3,23.967318
1364,36.97,36.731506
427,29.04,29.261143
1057,53.0,53.830032
148,32.4,30.133204
958,74.8,73.35716
1655,30.24,31.229227
821,30.1,30.298119
841,43.9,43.873795
796,31.5,32.147366
1674,36.09,35.831474
1114,35.6,35.402065
1150,29.2,27.938337
766,63.5,62.43112
403,29.67,30.237215
767,56.2,55.999596
343,31.84,32.731827
1299,40.76,41.285484
1407,64.9,65.16403
1681,39.8,40.04842
124,34.9,32.123444
631,34.6,34.723988
6,28.55,28.058716
1670,40.52,40.58996
383,27.88,27.830162
308,46.59,44.16376
1587,39.59,39.689247
1684,37.11,37.472588
1180,23.64,23.777714
1533,55.05,55.459316
1705,35.91,36.4659
1492,59.05,58.59631
748,33.9,33.799873
894,65.7,65.18657
412,32.59,35.050278
1021,40.8,40.20693
1166,27.0,28.146242
136,45.2,48.73807
985,42.9,42.86914
98,45.41,46.805855
1636,53.89,53.1294
599,37.0,36.878433
1035,42.5,42.339203
1464,50.78,50.206604
1164,28.13,27.604645
548,32.22,31.934647
207,24.6,18.404613
1190,19.82,18.436106
527,37.46,37.643085
1761,45.85,44.36802
802,51.3,48.714336
955,30.6,30.426374
2,31.81,31.72887
1067,41.1,41.3618
718,57.0,57.45855
1474,58.06,58.29435
1431,45.05,44.977203
874,40.8,41.695652
904,42.4,42.688263
297,32.82,33.588886
1614,29.82,29.562592
1633,36.05,34.685886
1541,55.9,56.206066
1385,46.65,47.782207
187,31.7,29.005045
831,61.3,61.64363
1680,42.19,42.97899
3,31.14,30.44837
45,46.68,46.867916
964,57.0,57.576355
1554,45.9,47.006973
1113,27.8,28.175117
556,22.25,24.072403
404,29.26,30.636024
1563,28.1,28.704475
487,27.73,27.938467
1181,23.38,23.021503
1443,60.84,60.870598
983,43.7,43.824486
1246,50.53,49.891712
591,46.3,47.14779
669,28.4,28.68576
302,36.85,36.68165
159,25.65,27.492367
1152,29.05,28.672285
845,40.6,41.018448
57,45.38,44.275482
1738,45.67,46.85928
1449,55.98,56.69839
822,33.4,32.806087
812,36.6,36.815228
1153,28.88,29.274633
586,20.2,21.650354
95,56.13,56.374508
1197,23.14,22.862839
649,20.2,19.872206
1451,62.55,60.8015
116,25.8,24.93375
259,31.1,30.459396
1650,31.86,31.598507
1401,36.86,36.333763
8,27.86,29.20735
218,56.7,59.496925
366,43.02,44.917004
963,62.1,61.840256
1506,68.78,70.81331
